google_index,page_rank,nb_hyperlinks,web_traffic,domain_age,nb_www,safe_anchor,length_url,ratio_digits_url,shortest_word_host,domain_registration_length,longest_words_raw,phish_hints,length_hostname,char_repeat,shortest_word_path,nb_slash,domain_in_title,shortest_words_raw,nb_dots,ratio_digits_host,longest_word_host,nb_hyphens,ip,nb_qm,status
1,4,17,0,-1,1,0.0,37,0.0,3,45,11,0,19,4,3,3,0,3,3,0.0,11,0,0,0,legitimate
1,2,30,0,5767,0,100.0,77,0.220779221,19,77,32,0,23,4,2,5,1,2,1,0.0,19,0,1,0,phishing
1,0,4,5828815,4004,0,100.0,126,0.150793651,3,14,17,0,50,2,2,5,1,2,4,0.0,13,1,1,1,phishing
0,3,149,107721,-1,0,62.5,18,0.0,5,62,5,0,11,0,0,2,1,5,2,0.0,5,0,0,0,legitimate
0,6,102,8725,8175,1,0.0,55,0.0,3,224,11,0,15,3,4,5,0,3,2,0.0,7,2,0,0,legitimate
1,0,10,0,-1,0,0.0,32,0.0,3,0,7,0,24,3,0,3,1,3,3,0.0,7,1,0,0,phishing
0,1,98,0,7529,1,100.0,19,0.0,3,170,5,0,12,3,0,2,0,3,2,0.0,5,0,0,0,legitimate
1,2,30,0,5767,1,100.0,81,0.259259259,3,76,32,0,27,8,2,5,1,2,2,0.0,19,0,1,0,phishing
0,5,63,0,7298,0,27.27272727,42,0.0,8,371,21,0,34,0,0,3,1,8,2,0.0,21,0,0,0,legitimate
0,5,140,6774,9368,0,58.13953488,104,0.076923077,6,128,10,1,10,0,2,6,1,2,1,0.0,6,10,0,0,legitimate
0,2,15,1627089,-1,1,0.0,56,0.0,3,0,15,0,22,3,3,4,1,3,3,0.0,15,0,0,0,legitimate
0,6,88,944,7911,1,62.5,43,0.186046512,3,489,8,0,16,3,2,3,1,2,2,0.0,8,3,0,0,legitimate
0,4,325,158942,1505,0,38.79310345,83,0.012048193,10,320,10,0,14,2,3,4,1,3,1,0.0,10,9,0,0,legitimate
1,4,3,1173197,1761,0,0.0,31,0.064516129,4,66,8,0,10,1,4,3,1,4,2,0.0,4,0,0,0,phishing
0,2,211,4297684,2041,1,69.6969697,25,0.0,3,880,8,0,16,4,0,3,0,3,2,0.0,8,0,0,0,legitimate
0,4,50,0,3892,0,0.0,51,0.019607843,4,490,12,0,23,1,5,4,1,4,3,0.0,12,0,0,1,phishing
0,4,125,99386,8301,1,76.19047619,31,0.0,3,3069,14,0,22,3,0,3,1,3,2,0.0,14,0,0,0,legitimate
